"main", "95", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:93", "Field Read", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, allFigures"
"main", "96", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:94", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=94"
"main", "97", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:94", "Field Read", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, movableFigures"
"main", "98", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:96", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=96"
"main", "99", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.utility.DebugLogger"
"main", "100", "SYSTEM", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, target=se.hig.oodp.lab.utility.DebugLogger#<clinit>:1"
"main", "101", "se/hig/oodp/lab/utility/DebugLogger.java:19", "Method Entered", " "
"main", "102", "se/hig/oodp/lab/utility/DebugLogger.java:21", "Field Write", " context=se.hig.oodp.lab.utility.DebugLogger, log=java.util.logging.Logger (id=60)"
"main", "103", "se/hig/oodp/lab/utility/DebugLogger.java:22", "Field Write", " context=se.hig.oodp.lab.utility.DebugLogger, logHandler=java.util.logging.ConsoleHandler (id=62)"
"main", "104", "se/hig/oodp/lab/utility/DebugLogger.java:22", "Method Exit", " returner=se.hig.oodp.lab.utility.DebugLogger#<clinit>:1, value=<void>"
"main", "105", "SYSTEM", "Method Returned", " "
"main", "106", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:96", "Field Read", " context=se.hig.oodp.lab.utility.DebugLogger, log"
"main", "107", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:97", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=97"
"main", "108", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:97", "Method Exit", " returner=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, value=<void>"
"main", "109", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:27", "Method Returned", " "
"main", "110", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:38", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=38"
"main", "111", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:38", "Method Exit", " returner=se.hig.oodp.lab.control.test.FigureHandlerTest#main:1, value=<void>"
"main", "112", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "Method Returned", " "
"main", "113", "SYSTEM", "Thread End", " "
"SYSTEM", "114", "SYSTEM", "System End", " "
